Date and time,11/12/2023 15:20:32
Voltage,Time
0.9632108211517334,+000.3518E+00RV
2.653109073638916,+001.2320E+00RV
3.5419139862060547,+001.2320E+00RV
4.399316072463989,+001.2320E+00RV
+001.2319E+00RV,5.292658567428589
+001.2324E+00RV,6.047312021255493
+001.2320E+00RV,6.815284490585327
+001.2320E+00RV,7.711933612823486
8.66442608833313,+001.2320E+00RV
9.57999587059021,+001.2320E+00RV
10.443856954574585,+001.2320E+00RV
11.361215353012085,+001.2320E+00RV
12.232978343963623,+001.2320E+00RV
13.208367347717285,+001.2320E+00RV
+001.2320E+00RV,14.014388799667358
+001.2320E+00RV,14.923097610473633
+001.2320E+00RV,15.83193564414978
16.67743468284607,+001.2320E+00RV
17.57284665107727,+001.2320E+00RV
18.511096715927124,+001.2320E+00RV
19.450383186340332,+001.2320E+00RV
20.353235006332397,+001.2320E+00RV
21.260003089904785,+001.2320E+00RV
+001.3454E+00RV,22.273518562316895
+001.3015E+00RV,23.23673105239868
24.151951551437378,+001.2320E+00RV
25.27891206741333,+001.2320E+00RV
+001.0426E+00RV,26.32219672203064
+001.1111E+00RV,27.52590847015381
+000.5439E+00RV,28.76092839241028
+001.2317E+00RV,30.836945295333862
